skills,interests,education,recommended_career
"r, sql, scala",,phd,data scientist
"git, aws, pytorch",,bachelor,ai research scientist
"computer vision, sql, java, gcp",,master,ai specialist
"python, tensorflow, git, pytorch, mlops",,phd,principal data scientist
"aws, sql, azure",,bachelor,deep learning engineer
"mathematics, r, mlops",,phd,machine learning engineer
"r, python, azure, java",,master,computer vision engineer
"kubernetes, scala, data visualization",,bachelor,data engineer
"deep learning, kubernetes, sql",,bachelor,ai software engineer
"kubernetes, scala, pytorch, aws, docker",,master,research scientist
"python, kubernetes, scala, linux",,phd,data analyst
"git, python, scala, aws",,master,ai architect
"hadoop, gcp, mlops, statistics",,phd,autonomous systems engineer
"hadoop, python, kubernetes",,associate,machine learning researcher
"git, python, tensorflow, sql",,bachelor,ai product manager
"linux, gcp, statistics, nlp, azure",,phd,machine learning researcher
"r, git, computer vision",,master,machine learning researcher
"linux, sql, pytorch, nlp, git",,master,robotics engineer
"sql, computer vision, linux, data visualization, git",,phd,ai software engineer
"python, spark, tensorflow",,phd,head of ai
"java, mlops, tensorflow",,phd,autonomous systems engineer
"nlp, sql, python",,bachelor,data analyst
"docker, python, mathematics",,master,data scientist
"kubernetes, mathematics, git, pytorch",,master,ai consultant
"python, tensorflow, tableau, linux, java",,master,data engineer
"spark, data visualization, sql, tensorflow, gcp",,master,robotics engineer
"python, mathematics, deep learning, tensorflow, aws",,associate,data scientist
"linux, r, scala",,phd,data engineer
"python, tensorflow, tableau",,associate,ai research scientist
"sql, pytorch, azure",,master,robotics engineer
"pytorch, sql, java, git",,master,ai consultant
"scala, linux, docker, git",,associate,ai architect
"mathematics, pytorch, azure",,associate,ai research scientist
"scala, linux, python",,master,machine learning engineer
"data visualization, pytorch, sql, computer vision, gcp",,bachelor,nlp engineer
"deep learning, sql, data visualization, nlp, tableau",,master,principal data scientist
"kubernetes, java, computer vision",,master,nlp engineer
"tableau, linux, java, kubernetes, computer vision",,phd,nlp engineer
"statistics, git, data visualization",,bachelor,research scientist
"pytorch, sql, aws, spark",,associate,principal data scientist
"r, kubernetes, tensorflow, data visualization",,phd,data scientist
"tensorflow, aws, git, azure",,master,data scientist
"mathematics, git, linux",,master,ai consultant
"python, data visualization, azure",,master,autonomous systems engineer
"pytorch, mathematics, linux",,master,data scientist
"spark, statistics, tableau, deep learning",,associate,ai research scientist
"kubernetes, aws, nlp, git",,master,machine learning researcher
"sql, tableau, pytorch, nlp, gcp",,phd,research scientist
"scala, docker, data visualization",,bachelor,nlp engineer
"scala, python, gcp, aws",,associate,robotics engineer
"tableau, azure, aws, data visualization",,master,ai specialist
"sql, mathematics, linux, scala, hadoop",,phd,autonomous systems engineer
"docker, aws, computer vision, mlops",,associate,ml ops engineer
"docker, git, data visualization",,bachelor,data scientist
"gcp, linux, r, scala",,master,ai consultant
"aws, spark, mathematics",,master,data scientist
"gcp, java, pytorch, mathematics, computer vision",,bachelor,deep learning engineer
"deep learning, computer vision, tableau, pytorch",,bachelor,ai software engineer
"python, hadoop, azure, computer vision",,associate,head of ai
"python, tensorflow, linux",,phd,nlp engineer
"azure, nlp, scala",,bachelor,ai architect
"linux, hadoop, spark, azure",,master,data analyst
"tableau, sql, linux",,phd,machine learning engineer
"git, hadoop, pytorch, java",,master,ai specialist
"kubernetes, data visualization, computer vision, sql",,phd,autonomous systems engineer
"statistics, gcp, sql",,master,ai product manager
"tensorflow, data visualization, kubernetes, linux",,master,principal data scientist
"statistics, spark, data visualization, git",,bachelor,computer vision engineer
"docker, scala, aws",,phd,ai consultant
"kubernetes, docker, tableau, python, spark",,associate,data analyst
"sql, git, java, docker",,master,ai specialist
"linux, scala, pytorch, hadoop",,phd,ai software engineer
"mlops, java, linux",,associate,ai architect
"mlops, kubernetes, python, computer vision",,phd,machine learning researcher
"linux, java, data visualization, tableau",,associate,ai research scientist
"tensorflow, python, gcp, java",,bachelor,machine learning engineer
"r, hadoop, data visualization",,bachelor,data engineer
"git, kubernetes, hadoop, sql, docker",,associate,head of ai
"mathematics, sql, pytorch, java, mlops",,associate,machine learning engineer
"hadoop, docker, mlops",,associate,ai consultant
"pytorch, mathematics, tableau",,bachelor,ai architect
"pytorch, scala, computer vision, kubernetes",,associate,data scientist
"sql, scala, aws, java, python",,phd,robotics engineer
"sql, linux, docker",,phd,machine learning engineer
"statistics, hadoop, spark, gcp",,bachelor,computer vision engineer
"python, statistics, computer vision, azure",,bachelor,ai product manager
"computer vision, spark, sql, scala",,phd,nlp engineer
"linux, kubernetes, gcp",,associate,ai software engineer
"pytorch, sql, tensorflow, kubernetes, git",,phd,ai product manager
"aws, hadoop, tableau, java, mathematics",,phd,ml ops engineer
"r, java, spark",,master,head of ai
"scala, pytorch, gcp, linux, mathematics",,phd,ml ops engineer
"scala, linux, statistics, git",,bachelor,head of ai
"aws, kubernetes, tableau, computer vision, statistics",,master,ai architect
"data visualization, python, tensorflow",,associate,ml ops engineer
"tensorflow, nlp, java, deep learning, scala",,master,ai consultant
"data visualization, scala, statistics",,phd,ai product manager
"hadoop, gcp, data visualization",,phd,research scientist
"data visualization, computer vision, tableau, gcp, java",,bachelor,data scientist
"git, spark, mlops, nlp, python",,phd,principal data scientist
"mlops, linux, computer vision, git",,phd,research scientist
"sql, gcp, pytorch, tensorflow, python",,master,data engineer
"hadoop, pytorch, scala, tensorflow",,associate,ai software engineer
"tensorflow, kubernetes, computer vision",,associate,research scientist
"tableau, hadoop, azure, data visualization",,phd,head of ai
"java, pytorch, linux, deep learning, computer vision",,bachelor,autonomous systems engineer
"mlops, docker, java, azure, statistics",,bachelor,research scientist
"r, sql, pytorch",,phd,robotics engineer
"gcp, mlops, computer vision, data visualization",,bachelor,ai consultant
"hadoop, tableau, mathematics, sql, aws",,phd,ai product manager
"statistics, mathematics, sql, tensorflow",,phd,principal data scientist
"r, tableau, java",,associate,computer vision engineer
"python, computer vision, git",,associate,principal data scientist
"pytorch, tableau, scala, gcp",,phd,computer vision engineer
"linux, pytorch, git, gcp, java",,associate,data engineer
"git, linux, python",,bachelor,head of ai
"pytorch, spark, sql",,master,machine learning researcher
"pytorch, java, tableau, gcp, azure",,bachelor,autonomous systems engineer
"nlp, python, scala",,phd,ai software engineer
"docker, mlops, python, spark, nlp",,associate,robotics engineer
"sql, java, linux",,associate,head of ai
"python, tensorflow, aws, mlops",,master,data analyst
"kubernetes, spark, pytorch",,phd,research scientist
"r, nlp, python",,master,ai research scientist
"sql, computer vision, aws, pytorch, gcp",,master,machine learning engineer
"gcp, linux, python, tensorflow, java",,bachelor,nlp engineer
"hadoop, deep learning, statistics, azure",,bachelor,autonomous systems engineer
"git, sql, python, tensorflow",,bachelor,ai software engineer
"hadoop, pytorch, linux",,associate,robotics engineer
"spark, hadoop, gcp, deep learning, statistics",,master,ml ops engineer
"java, gcp, sql, mlops",,master,autonomous systems engineer
"kubernetes, java, scala, computer vision",,phd,ai research scientist
"pytorch, kubernetes, linux, computer vision",,master,ai architect
"sql, python, gcp, r",,phd,ai specialist
"mlops, r, tableau",,phd,head of ai
"docker, python, tensorflow, statistics, pytorch",,bachelor,ml ops engineer
"pytorch, kubernetes, mathematics, gcp, linux",,associate,data scientist
"java, pytorch, tensorflow",,bachelor,ai consultant
"sql, r, linux, aws, tensorflow",,phd,nlp engineer
"nlp, r, hadoop, tensorflow, spark",,bachelor,computer vision engineer
"deep learning, hadoop, r",,phd,ai software engineer
"python, spark, docker, aws",,master,machine learning engineer
"scala, python, nlp",,phd,autonomous systems engineer
"pytorch, deep learning, computer vision, nlp",,associate,robotics engineer
"docker, tensorflow, aws",,phd,ai software engineer
"sql, git, statistics, pytorch, java",,associate,ai research scientist
"git, azure, java",,master,ai software engineer
"java, linux, data visualization, r",,master,deep learning engineer
"java, python, data visualization, kubernetes",,associate,ai architect
"python, tensorflow, computer vision, hadoop, kubernetes",,associate,data engineer
"tensorflow, python, tableau, hadoop",,phd,data scientist
"docker, sql, gcp, scala, git",,bachelor,principal data scientist
"java, hadoop, aws, mathematics, deep learning",,phd,ai consultant
"linux, aws, git, python",,phd,ai architect
"python, data visualization, mathematics",,master,data analyst
"python, tensorflow, linux, java, kubernetes",,associate,ai specialist
"docker, git, mlops",,master,research scientist
"mathematics, scala, nlp, sql",,phd,data engineer
"pytorch, scala, python",,bachelor,nlp engineer
"aws, mathematics, nlp, linux",,master,research scientist
"sql, data visualization, mlops, java",,bachelor,research scientist
"azure, kubernetes, docker, computer vision, spark",,associate,computer vision engineer
"kubernetes, scala, mathematics, nlp",,associate,nlp engineer
"deep learning, hadoop, nlp",,master,data analyst
"azure, python, nlp, git, tensorflow",,master,ml ops engineer
"python, tensorflow, scala",,master,head of ai
"azure, scala, statistics",,associate,research scientist
"kubernetes, aws, deep learning, r, spark",,bachelor,machine learning researcher
"computer vision, mlops, docker, azure",,associate,data engineer
"aws, pytorch, tableau, computer vision",,phd,ml ops engineer
"hadoop, mathematics, scala, pytorch",,bachelor,data scientist
"statistics, scala, spark, java, azure",,associate,ai research scientist
"java, deep learning, sql, mlops",,master,ai consultant
"linux, git, java, python, pytorch",,bachelor,machine learning researcher
"sql, aws, data visualization, nlp, java",,phd,machine learning engineer
"gcp, spark, tensorflow, kubernetes",,associate,computer vision engineer
"aws, sql, git",,associate,data scientist
"aws, deep learning, sql",,master,deep learning engineer
"azure, r, tableau, java",,phd,machine learning researcher
"pytorch, sql, python, r",,master,data scientist
"gcp, sql, kubernetes, r, pytorch",,associate,autonomous systems engineer
"git, gcp, mlops, deep learning, statistics",,phd,ai consultant
"sql, hadoop, pytorch, tableau, statistics",,master,autonomous systems engineer
"git, python, pytorch",,bachelor,ai architect
"pytorch, aws, java, tableau",,associate,data scientist
"pytorch, nlp, tableau, computer vision",,associate,ai product manager
"pytorch, kubernetes, computer vision",,bachelor,robotics engineer
"computer vision, sql, nlp, hadoop, tensorflow",,bachelor,ai product manager
"spark, tensorflow, java, nlp, deep learning",,phd,data scientist
"python, git, tensorflow, java",,master,data scientist
"r, sql, spark",,associate,ai software engineer
"kubernetes, pytorch, git",,associate,ai specialist
"kubernetes, git, azure, gcp",,bachelor,computer vision engineer
"scala, python, sql, gcp",,master,nlp engineer
"java, kubernetes, docker",,associate,deep learning engineer
"kubernetes, nlp, python",,phd,principal data scientist
"python, tensorflow, azure, pytorch, deep learning",,master,ai product manager
"mathematics, nlp, deep learning, python",,phd,principal data scientist
"r, data visualization, git, gcp",,bachelor,data analyst
"aws, spark, data visualization, linux",,associate,machine learning engineer
"scala, r, sql, nlp, java",,master,ai specialist
"spark, pytorch, tensorflow, scala",,associate,ai software engineer
"pytorch, gcp, data visualization, deep learning, azure",,bachelor,data analyst
"deep learning, data visualization, mlops, linux",,phd,deep learning engineer
"python, gcp, data visualization",,bachelor,machine learning engineer
"pytorch, tableau, gcp",,master,data scientist
"python, data visualization, tensorflow, gcp",,bachelor,research scientist
"gcp, kubernetes, mlops, data visualization",,master,autonomous systems engineer
"git, pytorch, spark, nlp, computer vision",,phd,head of ai
"python, git, computer vision, tensorflow",,master,ml ops engineer
"python, pytorch, r",,bachelor,data scientist
"deep learning, docker, java",,bachelor,computer vision engineer
"gcp, scala, java, sql, deep learning",,phd,ai architect
"python, data visualization, kubernetes, tensorflow, computer vision",,bachelor,nlp engineer
"git, r, scala, kubernetes",,phd,ai software engineer
"aws, kubernetes, nlp",,associate,ai specialist
"hadoop, git, pytorch, azure, tensorflow",,phd,robotics engineer
"aws, linux, tensorflow, git",,phd,data analyst
"data visualization, mlops, python, tensorflow",,bachelor,data engineer
"kubernetes, java, nlp, tableau, hadoop",,phd,machine learning engineer
"data visualization, pytorch, tableau",,associate,ai product manager
"deep learning, git, data visualization",,bachelor,nlp engineer
"git, python, nlp, linux",,master,ai architect
"sql, linux, docker, tableau",,phd,ai research scientist
"spark, statistics, sql, python",,associate,research scientist
"kubernetes, java, mathematics, tensorflow, r",,bachelor,data scientist
"pytorch, docker, aws, linux, java",,associate,head of ai
"mathematics, sql, mlops",,master,data engineer
"python, scala, tensorflow, spark, gcp",,phd,ai product manager
"git, python, kubernetes",,phd,deep learning engineer
"mlops, pytorch, git",,phd,ai specialist
"java, spark, nlp, hadoop, python",,master,computer vision engineer
"r, python, data visualization, tensorflow",,master,data scientist
"hadoop, python, computer vision",,master,machine learning engineer
"pytorch, kubernetes, r",,master,principal data scientist
"kubernetes, data visualization, gcp, mlops, pytorch",,associate,ai software engineer
"nlp, tableau, azure, r",,associate,ai software engineer
"hadoop, python, git",,bachelor,principal data scientist
"python, sql, hadoop, computer vision",,bachelor,machine learning engineer
"gcp, git, mlops, kubernetes",,bachelor,research scientist
"python, git, tensorflow",,associate,data scientist
"r, tableau, python, statistics, deep learning",,bachelor,ai specialist
"pytorch, tableau, azure, nlp",,bachelor,computer vision engineer
"mlops, r, data visualization",,associate,data scientist
"scala, hadoop, spark",,phd,data engineer
"gcp, java, mathematics, kubernetes",,bachelor,ai product manager
"pytorch, python, aws",,associate,ai software engineer
"azure, aws, gcp, tableau",,bachelor,ai consultant
"aws, python, tableau",,associate,research scientist
"linux, aws, java, spark, deep learning",,master,robotics engineer
"java, tensorflow, spark",,master,machine learning engineer
"spark, gcp, r, hadoop, data visualization",,phd,machine learning engineer
"sql, pytorch, tableau, statistics, mathematics",,bachelor,head of ai
"computer vision, pytorch, sql, java, r",,bachelor,ai software engineer
"linux, tableau, mathematics, pytorch, data visualization",,bachelor,machine learning engineer
"kubernetes, linux, computer vision, tableau, deep learning",,bachelor,deep learning engineer
"sql, linux, pytorch",,master,data scientist
"kubernetes, linux, nlp, docker, deep learning",,associate,ai consultant
"python, statistics, azure, gcp, tensorflow",,phd,robotics engineer
"java, linux, nlp, mathematics",,phd,computer vision engineer
"nlp, pytorch, spark, tensorflow",,phd,head of ai
"aws, java, mlops, r, sql",,bachelor,robotics engineer
"tensorflow, mathematics, data visualization, git, statistics",,bachelor,ml ops engineer
"tableau, tensorflow, linux, python",,bachelor,ai software engineer
"deep learning, gcp, python",,master,data engineer
"java, computer vision, aws, mlops, hadoop",,associate,ai specialist
"java, deep learning, tableau, scala, tensorflow",,associate,ai architect
"aws, nlp, python, azure",,master,research scientist
"spark, aws, pytorch, mathematics, nlp",,associate,ai research scientist
"tableau, aws, hadoop",,master,computer vision engineer
"tensorflow, docker, pytorch",,bachelor,data engineer
"mathematics, deep learning, java",,associate,machine learning engineer
"hadoop, gcp, tableau, r, git",,associate,ai software engineer
"docker, scala, computer vision, linux",,associate,data scientist
"pytorch, nlp, sql, mathematics",,associate,autonomous systems engineer
"python, tensorflow, statistics, scala, git",,bachelor,head of ai
"kubernetes, aws, scala, spark",,associate,ai architect
"git, mathematics, tableau, hadoop",,phd,ai architect
"git, computer vision, mlops, python",,bachelor,head of ai
"tableau, git, python, tensorflow, scala",,bachelor,head of ai
"hadoop, docker, mlops",,master,ai consultant
"mathematics, data visualization, python, sql, spark",,bachelor,ai product manager
"spark, sql, python",,phd,computer vision engineer
"sql, python, azure, docker, nlp",,bachelor,head of ai
"java, mlops, scala, deep learning",,phd,ai consultant
"python, kubernetes, computer vision, gcp",,bachelor,head of ai
"java, r, tableau, computer vision",,associate,machine learning researcher
"python, tensorflow, git",,bachelor,ai software engineer
"java, r, pytorch, mathematics",,master,machine learning engineer
"git, spark, statistics, mlops, mathematics",,bachelor,data analyst
"sql, java, python",,bachelor,autonomous systems engineer
"data visualization, sql, hadoop",,phd,research scientist
"scala, data visualization, python, mlops, azure",,associate,ai software engineer
"r, kubernetes, spark, scala",,master,ai consultant
"linux, tableau, scala, aws, data visualization",,phd,data scientist
"docker, pytorch, sql, mathematics",,bachelor,ai product manager
"git, linux, kubernetes, statistics, python",,phd,head of ai
"python, pytorch, r, hadoop, docker",,bachelor,autonomous systems engineer
"tensorflow, hadoop, data visualization, git, mathematics",,phd,data scientist
"git, nlp, deep learning, linux, kubernetes",,associate,machine learning researcher
"mathematics, python, kubernetes",,bachelor,ai product manager
"linux, scala, nlp, hadoop",,master,data analyst
"spark, hadoop, pytorch",,bachelor,ai specialist
"linux, spark, mathematics, hadoop",,phd,computer vision engineer
"hadoop, spark, linux",,phd,computer vision engineer
"python, linux, hadoop",,phd,ai architect
"gcp, mathematics, git, pytorch",,associate,data analyst
"deep learning, computer vision, tableau, kubernetes",,master,ai consultant
"kubernetes, tableau, docker, scala",,associate,research scientist
"python, docker, sql, aws, scala",,phd,ai architect
"scala, tensorflow, deep learning",,master,ai software engineer
"r, sql, pytorch, mathematics, deep learning",,bachelor,research scientist
"git, statistics, python",,phd,ml ops engineer
"java, spark, azure, sql, deep learning",,bachelor,ai software engineer
"python, hadoop, tensorflow",,associate,nlp engineer
"deep learning, pytorch, tableau",,phd,ai architect
"sql, pytorch, tableau",,master,machine learning engineer
"r, tableau, gcp, mlops",,master,ai software engineer
"python, gcp, scala, tableau, git",,bachelor,data scientist
"statistics, nlp, python, kubernetes",,master,ml ops engineer
"kubernetes, sql, mlops, gcp, docker",,phd,ai architect
"git, scala, gcp, kubernetes, aws",,bachelor,ai specialist
"java, pytorch, tableau, mlops, kubernetes",,phd,machine learning researcher
"sql, java, gcp, data visualization, computer vision",,master,robotics engineer
"scala, pytorch, sql, data visualization, tensorflow",,bachelor,ai consultant
"pytorch, data visualization, spark",,associate,principal data scientist
"pytorch, mathematics, tensorflow, hadoop, nlp",,bachelor,ai specialist
"computer vision, sql, data visualization",,bachelor,head of ai
"scala, sql, gcp, tensorflow",,associate,ai architect
"linux, python, mathematics",,phd,nlp engineer
"mlops, java, python, linux, r",,phd,autonomous systems engineer
"kubernetes, python, tensorflow",,associate,principal data scientist
"azure, gcp, java, kubernetes",,master,data scientist
"python, azure, statistics, gcp",,bachelor,robotics engineer
"java, gcp, python, mathematics, nlp",,associate,principal data scientist
"python, tableau, linux",,master,ai product manager
"gcp, git, pytorch",,associate,computer vision engineer
"mathematics, java, spark",,master,ml ops engineer
"scala, linux, r",,master,machine learning researcher
"tensorflow, aws, linux",,master,data analyst
"spark, r, python",,phd,deep learning engineer
"git, r, tensorflow, aws",,associate,data analyst
"mlops, docker, hadoop, r",,phd,ai consultant
"spark, pytorch, statistics",,phd,principal data scientist
"python, linux, statistics, sql, hadoop",,bachelor,ml ops engineer
"tensorflow, java, pytorch, git, mathematics",,bachelor,machine learning engineer
"r, java, python, sql",,bachelor,data analyst
"tableau, hadoop, sql, spark",,phd,principal data scientist
"docker, pytorch, gcp, nlp, tensorflow",,master,machine learning researcher
"linux, kubernetes, gcp, git",,associate,autonomous systems engineer
"kubernetes, python, deep learning",,bachelor,research scientist
"azure, mathematics, r",,master,ai architect
"hadoop, spark, deep learning, mathematics, git",,master,data scientist
"docker, python, computer vision, pytorch, hadoop",,bachelor,computer vision engineer
"kubernetes, git, scala",,phd,autonomous systems engineer
"kubernetes, scala, python",,associate,autonomous systems engineer
"kubernetes, git, scala, deep learning",,associate,autonomous systems engineer
"azure, java, nlp, spark, computer vision",,phd,ai consultant
"r, java, tableau, data visualization",,bachelor,ai software engineer
"linux, git, nlp, deep learning",,associate,data scientist
"scala, sql, aws, tableau",,phd,data engineer
"git, sql, data visualization, tensorflow",,bachelor,machine learning engineer
"gcp, python, linux, tensorflow, deep learning",,phd,data engineer
"computer vision, r, java",,associate,nlp engineer
"hadoop, scala, python",,master,robotics engineer
"kubernetes, python, nlp",,master,ai specialist
"mathematics, tableau, data visualization, java, hadoop",,master,data engineer
"kubernetes, python, deep learning, java",,master,head of ai
"sql, hadoop, java, azure, tensorflow",,master,autonomous systems engineer
"gcp, spark, azure, r",,bachelor,computer vision engineer
"docker, kubernetes, git",,bachelor,ai product manager
"computer vision, statistics, r",,associate,research scientist
"mlops, kubernetes, azure, git, python",,master,ml ops engineer
"azure, python, nlp, tensorflow",,bachelor,ai software engineer
"computer vision, azure, java, data visualization",,master,robotics engineer
"python, spark, tensorflow, hadoop",,bachelor,ai software engineer
"linux, nlp, kubernetes",,bachelor,nlp engineer
"tableau, azure, gcp, mathematics",,associate,data engineer
"java, scala, mlops, data visualization, azure",,bachelor,machine learning engineer
"scala, java, python, nlp",,phd,research scientist
"tableau, kubernetes, spark, git",,phd,research scientist
"scala, kubernetes, computer vision",,associate,data analyst
"r, gcp, sql",,associate,ai product manager
"docker, azure, scala",,phd,ai software engineer
"deep learning, mathematics, pytorch, gcp",,bachelor,robotics engineer
"tensorflow, r, git, java, linux",,bachelor,computer vision engineer
"linux, docker, data visualization, sql, nlp",,master,ai product manager
"tensorflow, sql, tableau",,phd,data analyst
"sql, linux, scala, statistics, hadoop",,associate,head of ai
"sql, hadoop, tensorflow",,master,nlp engineer
"aws, python, linux, scala, tensorflow",,bachelor,head of ai
"docker, computer vision, nlp",,phd,machine learning researcher
"hadoop, r, java",,master,head of ai
"docker, hadoop, python, tableau",,master,data analyst
"kubernetes, java, nlp, deep learning, r",,phd,nlp engineer
"tableau, docker, java, statistics, hadoop",,associate,principal data scientist
"git, java, mathematics, nlp, aws",,bachelor,ai consultant
"sql, pytorch, deep learning, tableau",,phd,ai architect
"java, aws, python, data visualization, tensorflow",,master,ai software engineer
"data visualization, aws, python, kubernetes",,master,machine learning researcher
"linux, r, nlp, mathematics",,master,ml ops engineer
"spark, r, nlp, computer vision",,bachelor,nlp engineer
"pytorch, gcp, kubernetes, spark",,bachelor,ai architect
"python, kubernetes, sql",,phd,autonomous systems engineer
"gcp, python, azure, linux, deep learning",,bachelor,ml ops engineer
"git, r, nlp",,bachelor,research scientist
"git, r, python, mathematics, kubernetes",,master,ai architect
"scala, aws, nlp, hadoop, data visualization",,associate,data engineer
"scala, gcp, java",,associate,machine learning researcher
"git, pytorch, mlops, nlp",,bachelor,nlp engineer
"scala, git, mlops",,phd,ai specialist
"sql, pytorch, tableau",,associate,head of ai
"r, python, mathematics, computer vision",,bachelor,ai product manager
"python, tensorflow, linux",,associate,research scientist
"hadoop, git, python, pytorch",,master,research scientist
"java, sql, docker, tableau",,associate,ml ops engineer
"python, git, nlp",,phd,ai research scientist
"data visualization, git, python, nlp",,bachelor,nlp engineer
"spark, java, sql, azure",,master,nlp engineer
"git, mathematics, computer vision, sql",,bachelor,ai specialist
"tensorflow, gcp, nlp, docker",,associate,data analyst
"python, linux, git, pytorch",,phd,ml ops engineer
"kubernetes, mlops, aws",,master,data analyst
"spark, tensorflow, hadoop",,bachelor,ai consultant
"pytorch, python, nlp, spark",,bachelor,machine learning researcher
"kubernetes, nlp, azure",,phd,machine learning engineer
"linux, scala, kubernetes, deep learning, tableau",,associate,machine learning engineer
"scala, python, data visualization",,bachelor,robotics engineer
"nlp, pytorch, python, mathematics, docker",,bachelor,head of ai
"scala, aws, git, gcp, tensorflow",,master,computer vision engineer
"scala, java, data visualization, mathematics, aws",,bachelor,computer vision engineer
"kubernetes, hadoop, gcp",,phd,data scientist
"sql, deep learning, tableau, kubernetes, data visualization",,associate,data analyst
"sql, git, pytorch",,associate,ai consultant
"statistics, computer vision, tableau, python, tensorflow",,phd,computer vision engineer
"azure, gcp, python, tensorflow, pytorch",,phd,data analyst
"scala, python, mathematics, aws",,master,ai consultant
"statistics, nlp, python, kubernetes",,phd,robotics engineer
"spark, java, python, statistics",,phd,ai software engineer
"scala, python, sql, tensorflow",,master,ai specialist
"sql, deep learning, python",,bachelor,nlp engineer
"sql, mlops, deep learning",,phd,data scientist
"computer vision, mlops, tensorflow",,phd,principal data scientist
"scala, tensorflow, tableau, gcp, aws",,master,robotics engineer
"docker, gcp, computer vision",,phd,ai research scientist
"gcp, sql, scala",,phd,research scientist
"data visualization, tableau, tensorflow",,bachelor,ml ops engineer
"git, aws, mlops, linux",,bachelor,machine learning researcher
"git, aws, java, pytorch",,associate,robotics engineer
"scala, sql, azure",,phd,autonomous systems engineer
"docker, sql, scala, deep learning, mathematics",,phd,ai consultant
"linux, git, data visualization",,phd,ai research scientist
"tableau, python, data visualization, statistics",,phd,deep learning engineer
"data visualization, scala, java, gcp, azure",,bachelor,machine learning researcher
"nlp, deep learning, mathematics, computer vision, hadoop",,phd,data engineer
"sql, spark, computer vision, azure, r",,phd,head of ai
"hadoop, gcp, nlp, mlops, deep learning",,bachelor,head of ai
"azure, hadoop, git",,associate,head of ai
"linux, data visualization, r, mlops",,bachelor,ai product manager
"sql, azure, tableau",,phd,machine learning engineer
"docker, git, statistics",,master,principal data scientist
"aws, mlops, scala, hadoop, python",,master,ai research scientist
"pytorch, r, tensorflow, python, hadoop",,phd,autonomous systems engineer
"azure, python, linux, kubernetes, sql",,bachelor,data engineer
"deep learning, pytorch, computer vision, linux, docker",,master,principal data scientist
"kubernetes, sql, gcp, azure, python",,master,robotics engineer
"linux, python, mathematics",,bachelor,ai architect
"pytorch, data visualization, mlops, spark, docker",,master,machine learning researcher
"kubernetes, tensorflow, gcp, linux",,master,ai research scientist
"mlops, python, git, kubernetes",,phd,ai consultant
"python, kubernetes, azure, tensorflow, java",,phd,research scientist
"linux, python, mlops, nlp",,bachelor,data analyst
"pytorch, sql, computer vision",,phd,nlp engineer
"tableau, tensorflow, docker, python",,master,deep learning engineer
"sql, hadoop, computer vision, r, gcp",,phd,ai consultant
"python, sql, kubernetes, computer vision, java",,phd,machine learning researcher
"git, scala, azure",,master,machine learning engineer
"pytorch, hadoop, git, computer vision, r",,associate,ai specialist
"kubernetes, deep learning, tableau, spark, java",,master,computer vision engineer
"python, r, mathematics, computer vision",,master,data scientist
"linux, gcp, git, pytorch, docker",,master,data analyst
"pytorch, statistics, tableau",,master,deep learning engineer
"python, mathematics, nlp, kubernetes, hadoop",,master,computer vision engineer
"python, tensorflow, statistics, git, java",,master,machine learning engineer
"tableau, azure, nlp, mlops",,bachelor,principal data scientist
"kubernetes, tensorflow, statistics",,associate,head of ai
"r, linux, python, computer vision",,master,data engineer
"tableau, git, hadoop",,bachelor,ai software engineer
"deep learning, statistics, spark, kubernetes, scala",,master,ai specialist
"python, tensorflow, pytorch, hadoop",,bachelor,data engineer
"python, r, mlops",,bachelor,data scientist
"python, aws, azure, statistics",,associate,autonomous systems engineer
"data visualization, python, nlp, mathematics, kubernetes",,bachelor,data analyst
"computer vision, spark, sql, pytorch",,bachelor,ai research scientist
"gcp, tensorflow, linux, data visualization, sql",,associate,data engineer
"sql, python, computer vision",,phd,head of ai
"tableau, scala, docker, nlp",,master,data analyst
"r, pytorch, deep learning, sql",,master,machine learning engineer
"tensorflow, r, python, mathematics",,phd,ai research scientist
"statistics, kubernetes, mlops, aws",,associate,ai consultant
"java, mathematics, gcp, linux, nlp",,master,head of ai
"spark, computer vision, data visualization, nlp",,master,ai software engineer
"python, git, gcp, computer vision, tensorflow",,associate,head of ai
"azure, r, kubernetes",,phd,data engineer
"azure, scala, pytorch",,bachelor,machine learning researcher
"sql, tableau, data visualization, nlp, hadoop",,phd,ai product manager
"data visualization, docker, sql",,master,data engineer
"docker, git, azure",,associate,ai research scientist
"git, java, tensorflow",,phd,deep learning engineer
"java, git, tensorflow, data visualization",,master,machine learning researcher
"gcp, tableau, python, data visualization, nlp",,associate,autonomous systems engineer
"git, pytorch, sql",,associate,ml ops engineer
"java, scala, data visualization, mathematics, azure",,bachelor,ai research scientist
"java, scala, deep learning, docker, nlp",,bachelor,ai specialist
"python, data visualization, tensorflow, git, azure",,bachelor,ai specialist
"r, python, scala, linux",,master,ai product manager
"python, sql, nlp",,master,autonomous systems engineer
"docker, tableau, computer vision",,master,machine learning engineer
"azure, pytorch, hadoop",,master,machine learning engineer
"pytorch, git, deep learning, docker",,phd,research scientist
"nlp, docker, spark, sql",,bachelor,data engineer
"sql, tableau, spark",,phd,autonomous systems engineer
"r, pytorch, gcp, sql, scala",,master,deep learning engineer
"tensorflow, deep learning, hadoop, docker",,bachelor,ai consultant
"hadoop, data visualization, aws, computer vision",,associate,ai specialist
