skills,interests,education,recommended_career,skills_mapped
"tableau, sql, deep learning",,bachelor,ai consultant,deep learning;sql;tableau
"mathematics, docker, nlp, linux",,associate,machine learning researcher,docker;linux;mathematics;nlp
"spark, linux, tableau, mathematics",,associate,ai architect,linux;mathematics;spark;tableau
"kubernetes, sql, spark, scala",,bachelor,data scientist,kubernetes;scala;spark;sql
"tableau, kubernetes, linux",,bachelor,principal data scientist,kubernetes;linux;tableau
"mathematics, azure, python",,master,ai software engineer,azure;mathematics;python
"scala, tensorflow, data visualization, gcp",,master,principal data scientist,data visualization;gcp;scala;tensorflow
"kubernetes, mlops, java, r, git",,associate,principal data scientist,git;java;kubernetes;mlops;r
"spark, tensorflow, nlp, mlops",,bachelor,data scientist,mlops;nlp;spark;tensorflow
"deep learning, azure, nlp, aws, docker",,bachelor,ai product manager,aws;azure;deep learning;docker;nlp
"python, linux, computer vision",,phd,robotics engineer,computer vision;linux;python
"tableau, tensorflow, docker, aws, scala",,phd,machine learning researcher,aws;docker;scala;tableau;tensorflow
"python, tensorflow, computer vision, git, hadoop",,bachelor,research scientist,computer vision;git;hadoop;python;tensorflow
"mathematics, python, nlp, spark, deep learning",,phd,head of ai,deep learning;mathematics;nlp;python;spark
"docker, sql, pytorch, data visualization",,master,ai specialist,data visualization;docker;pytorch;sql
"linux, python, statistics, data visualization",,phd,machine learning researcher,data visualization;linux;python;statistics
"scala, mathematics, computer vision, linux, kubernetes",,master,computer vision engineer,computer vision;kubernetes;linux;mathematics;scala
"pytorch, hadoop, linux, tensorflow, azure",,master,nlp engineer,azure;hadoop;linux;pytorch;tensorflow
"gcp, java, git",,master,data scientist,gcp;git;java
"sql, mlops, python, pytorch, tableau",,associate,machine learning engineer,mlops;python;pytorch;sql;tableau
"python, kubernetes, linux, gcp",,phd,research scientist,gcp;kubernetes;linux;python
"git, python, tensorflow",,bachelor,ai research scientist,git;python;tensorflow
"gcp, kubernetes, sql, docker",,associate,ml ops engineer,docker;gcp;kubernetes;sql
"sql, gcp, nlp",,master,autonomous systems engineer,gcp;nlp;sql
"gcp, docker, linux, java",,associate,ml ops engineer,docker;gcp;java;linux
"computer vision, aws, nlp",,master,ai specialist,aws;computer vision;nlp
"sql, hadoop, tensorflow, spark",,bachelor,ai research scientist,hadoop;spark;sql;tensorflow
"python, hadoop, tensorflow, computer vision, azure",,phd,ai software engineer,azure;computer vision;hadoop;python;tensorflow
"pytorch, java, scala",,associate,ai consultant,java;pytorch;scala
"aws, python, hadoop, computer vision",,bachelor,robotics engineer,aws;computer vision;hadoop;python
"pytorch, statistics, tableau, mlops, tensorflow",,master,data engineer,mlops;pytorch;statistics;tableau;tensorflow
"kubernetes, hadoop, python, tableau",,bachelor,ai product manager,hadoop;kubernetes;python;tableau
"git, deep learning, mlops, java",,bachelor,ai architect,deep learning;git;java;mlops
"java, nlp, mathematics, scala",,master,principal data scientist,java;mathematics;nlp;scala
"java, pytorch, spark, statistics, azure",,master,deep learning engineer,azure;java;pytorch;spark;statistics
"python, r, data visualization, nlp",,master,autonomous systems engineer,data visualization;nlp;python;r
"docker, aws, sql, pytorch, scala",,phd,computer vision engineer,aws;docker;pytorch;scala;sql
"pytorch, deep learning, azure, nlp, gcp",,master,deep learning engineer,azure;deep learning;gcp;nlp;pytorch
"computer vision, azure, spark",,bachelor,ai specialist,azure;computer vision;spark
"java, computer vision, docker, r, tableau",,associate,robotics engineer,computer vision;docker;java;r;tableau
"scala, python, nlp",,master,machine learning researcher,nlp;python;scala
"linux, kubernetes, nlp, mlops, git",,phd,data engineer,git;kubernetes;linux;mlops;nlp
"kubernetes, statistics, computer vision, hadoop",,master,data scientist,computer vision;hadoop;kubernetes;statistics
"sql, java, data visualization, pytorch, deep learning",,bachelor,data engineer,data visualization;deep learning;java;pytorch;sql
"data visualization, git, aws",,associate,data analyst,aws;data visualization;git
"linux, computer vision, sql",,master,deep learning engineer,computer vision;linux;sql
"linux, tensorflow, pytorch, statistics",,master,principal data scientist,linux;pytorch;statistics;tensorflow
"python, azure, gcp, docker",,associate,robotics engineer,azure;docker;gcp;python
"mlops, azure, mathematics, computer vision, python",,bachelor,data analyst,azure;computer vision;mathematics;mlops;python
"tableau, tensorflow, scala",,associate,ai product manager,scala;tableau;tensorflow
"r, sql, git",,phd,deep learning engineer,git;r;sql
"kubernetes, python, mlops",,master,nlp engineer,kubernetes;mlops;python
"git, docker, tableau",,associate,robotics engineer,docker;git;tableau
"gcp, python, tensorflow",,bachelor,ai architect,gcp;python;tensorflow
"statistics, data visualization, r",,associate,ai software engineer,data visualization;r;statistics
"docker, sql, spark, r, computer vision",,phd,ai software engineer,computer vision;docker;r;spark;sql
"kubernetes, mlops, tableau, linux",,phd,ai architect,kubernetes;linux;mlops;tableau
"sql, aws, data visualization",,phd,principal data scientist,aws;data visualization;sql
"tableau, kubernetes, linux",,associate,data analyst,kubernetes;linux;tableau
"scala, deep learning, mathematics, python, git",,master,nlp engineer,deep learning;git;mathematics;python;scala
"nlp, r, spark, gcp",,associate,data analyst,gcp;nlp;r;spark
"linux, sql, statistics, deep learning, python",,phd,robotics engineer,deep learning;linux;python;sql;statistics
"scala, statistics, r, linux, tableau",,master,nlp engineer,linux;r;scala;statistics;tableau
"tableau, python, tensorflow",,master,autonomous systems engineer,python;tableau;tensorflow
"gcp, sql, hadoop, azure, pytorch",,associate,autonomous systems engineer,azure;gcp;hadoop;pytorch;sql
"mlops, statistics, python, computer vision",,phd,robotics engineer,computer vision;mlops;python;statistics
"mathematics, tableau, deep learning, nlp, git",,phd,head of ai,deep learning;git;mathematics;nlp;tableau
"pytorch, tensorflow, linux",,phd,computer vision engineer,linux;pytorch;tensorflow
"docker, scala, linux, aws",,bachelor,nlp engineer,aws;docker;linux;scala
"scala, python, linux, statistics, aws",,associate,ai consultant,aws;linux;python;scala;statistics
"python, gcp, kubernetes, tensorflow, docker",,bachelor,head of ai,docker;gcp;kubernetes;python;tensorflow
"nlp, scala, java, mathematics, computer vision",,master,computer vision engineer,computer vision;java;mathematics;nlp;scala
"hadoop, kubernetes, docker, python",,bachelor,ml ops engineer,docker;hadoop;kubernetes;python
"mlops, deep learning, aws, linux",,master,ai consultant,aws;deep learning;linux;mlops
"computer vision, mlops, r, python",,master,data engineer,computer vision;mlops;python;r
"mathematics, java, r, sql",,bachelor,machine learning engineer,java;mathematics;r;sql
"linux, python, sql, git",,phd,machine learning engineer,git;linux;python;sql
"mathematics, git, data visualization",,bachelor,autonomous systems engineer,data visualization;git;mathematics
"azure, sql, python, scala",,associate,nlp engineer,azure;python;scala;sql
"tableau, hadoop, computer vision",,bachelor,research scientist,computer vision;hadoop;tableau
"aws, git, tableau, mlops, java",,associate,ai architect,aws;git;java;mlops;tableau
"java, sql, linux",,bachelor,ai specialist,java;linux;sql
"git, java, data visualization, mlops",,phd,principal data scientist,data visualization;git;java;mlops
"java, mathematics, sql, hadoop",,bachelor,ai consultant,hadoop;java;mathematics;sql
"computer vision, pytorch, linux",,master,ml ops engineer,computer vision;linux;pytorch
"kubernetes, tensorflow, hadoop, mathematics, python",,phd,ai architect,hadoop;kubernetes;mathematics;python;tensorflow
"python, r, java, mlops",,bachelor,head of ai,java;mlops;python;r
"tableau, docker, linux",,bachelor,ai research scientist,docker;linux;tableau
"hadoop, statistics, scala",,bachelor,ai product manager,hadoop;scala;statistics
"r, tensorflow, aws",,phd,ai product manager,aws;r;tensorflow
"aws, python, hadoop, git, tensorflow",,master,computer vision engineer,aws;git;hadoop;python;tensorflow
"pytorch, spark, hadoop, tensorflow",,associate,ml ops engineer,hadoop;pytorch;spark;tensorflow
"tensorflow, gcp, python, r",,associate,data analyst,gcp;python;r;tensorflow
"scala, azure, tensorflow, git, hadoop",,phd,computer vision engineer,azure;git;hadoop;scala;tensorflow
"python, gcp, git",,bachelor,ai architect,gcp;git;python
"linux, java, docker, gcp",,bachelor,ai consultant,docker;gcp;java;linux
"tensorflow, python, java, pytorch",,bachelor,nlp engineer,java;python;pytorch;tensorflow
"java, python, hadoop, mathematics, tensorflow",,phd,data scientist,hadoop;java;mathematics;python;tensorflow
"computer vision, statistics, hadoop, python, java",,master,ai specialist,computer vision;hadoop;java;python;statistics
"statistics, linux, sql, python, git",,bachelor,autonomous systems engineer,git;linux;python;sql;statistics
"mlops, gcp, r",,associate,deep learning engineer,gcp;mlops;r
"linux, git, sql, python, java",,bachelor,deep learning engineer,git;java;linux;python;sql
"tensorflow, r, java, nlp, azure",,associate,machine learning engineer,azure;java;nlp;r;tensorflow
"linux, docker, kubernetes, aws, azure",,phd,principal data scientist,aws;azure;docker;kubernetes;linux
"spark, statistics, data visualization, mlops",,bachelor,deep learning engineer,data visualization;mlops;spark;statistics
"spark, aws, git",,bachelor,nlp engineer,aws;git;spark
"python, data visualization, azure",,phd,autonomous systems engineer,azure;data visualization;python
"pytorch, nlp, gcp, statistics",,associate,autonomous systems engineer,gcp;nlp;pytorch;statistics
"r, gcp, sql, data visualization",,master,machine learning researcher,data visualization;gcp;r;sql
"tableau, linux, java",,phd,deep learning engineer,java;linux;tableau
"mlops, nlp, git, gcp, spark",,associate,ai product manager,gcp;git;mlops;nlp;spark
"aws, mlops, computer vision",,bachelor,data analyst,aws;computer vision;mlops
"r, gcp, mlops",,associate,head of ai,gcp;mlops;r
"gcp, kubernetes, sql, pytorch",,bachelor,head of ai,gcp;kubernetes;pytorch;sql
"kubernetes, scala, mlops, spark",,phd,research scientist,kubernetes;mlops;scala;spark
"tableau, kubernetes, tensorflow",,master,autonomous systems engineer,kubernetes;tableau;tensorflow
"pytorch, r, gcp, git, tableau",,master,ai software engineer,gcp;git;pytorch;r;tableau
"java, nlp, spark, aws",,phd,data scientist,aws;java;nlp;spark
"linux, python, docker, tensorflow",,bachelor,ml ops engineer,docker;linux;python;tensorflow
"aws, mathematics, scala, statistics",,bachelor,data engineer,aws;mathematics;scala;statistics
"mathematics, kubernetes, tensorflow",,phd,data scientist,kubernetes;mathematics;tensorflow
"linux, git, pytorch",,phd,ml ops engineer,git;linux;pytorch
"kubernetes, tensorflow, azure, nlp",,phd,machine learning engineer,azure;kubernetes;nlp;tensorflow
"deep learning, spark, sql",,phd,ai product manager,deep learning;spark;sql
"python, docker, java",,bachelor,ai research scientist,docker;java;python
"deep learning, gcp, pytorch",,phd,autonomous systems engineer,deep learning;gcp;pytorch
"tableau, mlops, computer vision, git",,phd,autonomous systems engineer,computer vision;git;mlops;tableau
"kubernetes, java, gcp, r, computer vision",,bachelor,deep learning engineer,computer vision;gcp;java;kubernetes;r
"tableau, python, pytorch",,phd,ml ops engineer,python;pytorch;tableau
"azure, spark, tableau",,phd,data analyst,azure;spark;tableau
"tableau, statistics, tensorflow, kubernetes",,associate,ai specialist,kubernetes;statistics;tableau;tensorflow
"python, spark, statistics",,phd,robotics engineer,python;spark;statistics
"tableau, pytorch, python",,master,ai product manager,python;pytorch;tableau
"python, data visualization, hadoop, mathematics",,associate,machine learning engineer,data visualization;hadoop;mathematics;python
"python, sql, data visualization, java, kubernetes",,bachelor,robotics engineer,data visualization;java;kubernetes;python;sql
"statistics, kubernetes, aws",,bachelor,ai product manager,aws;kubernetes;statistics
"hadoop, mlops, scala",,bachelor,deep learning engineer,hadoop;mlops;scala
"git, tableau, pytorch, sql",,phd,robotics engineer,git;pytorch;sql;tableau
"sql, docker, spark, linux, statistics",,master,nlp engineer,docker;linux;spark;sql;statistics
"aws, kubernetes, tableau, git",,associate,ai consultant,aws;git;kubernetes;tableau
"scala, mathematics, docker, deep learning",,phd,nlp engineer,deep learning;docker;mathematics;scala
"git, kubernetes, gcp, hadoop",,bachelor,data engineer,gcp;git;hadoop;kubernetes
"mlops, python, gcp",,master,nlp engineer,gcp;mlops;python
"java, tensorflow, sql",,phd,ai consultant,java;sql;tensorflow
"python, kubernetes, sql, tensorflow",,master,head of ai,kubernetes;python;sql;tensorflow
"spark, python, mlops, tensorflow",,phd,data scientist,mlops;python;spark;tensorflow
"spark, git, data visualization, kubernetes, gcp",,phd,data analyst,data visualization;gcp;git;kubernetes;spark
"r, kubernetes, nlp",,bachelor,machine learning researcher,kubernetes;nlp;r
"java, pytorch, git, hadoop",,associate,data analyst,git;hadoop;java;pytorch
"pytorch, aws, sql, git, computer vision",,master,ai product manager,aws;computer vision;git;pytorch;sql
"nlp, python, scala",,associate,machine learning engineer,nlp;python;scala
"scala, gcp, computer vision",,master,nlp engineer,computer vision;gcp;scala
"python, linux, computer vision",,bachelor,ai consultant,computer vision;linux;python
"azure, scala, tensorflow, java",,phd,nlp engineer,azure;java;scala;tensorflow
"sql, gcp, git, nlp, kubernetes",,master,autonomous systems engineer,gcp;git;kubernetes;nlp;sql
"mlops, kubernetes, sql",,phd,robotics engineer,kubernetes;mlops;sql
"git, statistics, tensorflow, deep learning, pytorch",,associate,ml ops engineer,deep learning;git;pytorch;statistics;tensorflow
"kubernetes, mathematics, tableau, sql",,associate,machine learning researcher,kubernetes;mathematics;sql;tableau
"data visualization, java, pytorch",,phd,nlp engineer,data visualization;java;pytorch
"docker, python, sql, tableau, java",,master,autonomous systems engineer,docker;java;python;sql;tableau
"python, spark, tableau, computer vision",,bachelor,ai specialist,computer vision;python;spark;tableau
"kubernetes, r, git, python",,associate,ml ops engineer,git;kubernetes;python;r
"tensorflow, hadoop, mlops, statistics, azure",,associate,ai research scientist,azure;hadoop;mlops;statistics;tensorflow
"sql, tensorflow, r",,master,machine learning researcher,r;sql;tensorflow
"tableau, hadoop, aws",,master,principal data scientist,aws;hadoop;tableau
"python, docker, statistics",,associate,robotics engineer,docker;python;statistics
"aws, python, gcp, spark, tensorflow",,associate,ai software engineer,aws;gcp;python;spark;tensorflow
"python, aws, tensorflow, deep learning, data visualization",,master,computer vision engineer,aws;data visualization;deep learning;python;tensorflow
"git, data visualization, mathematics",,master,research scientist,data visualization;git;mathematics
"gcp, python, tableau, data visualization",,associate,principal data scientist,data visualization;gcp;python;tableau
"python, tensorflow, kubernetes, aws",,master,data engineer,aws;kubernetes;python;tensorflow
"git, deep learning, tensorflow, java, spark",,associate,ai research scientist,deep learning;git;java;spark;tensorflow
"java, scala, nlp",,bachelor,machine learning researcher,java;nlp;scala
"r, pytorch, deep learning, tensorflow, statistics",,associate,data scientist,deep learning;pytorch;r;statistics;tensorflow
"spark, tableau, gcp, pytorch, git",,phd,principal data scientist,gcp;git;pytorch;spark;tableau
"sql, statistics, computer vision, hadoop",,associate,ai product manager,computer vision;hadoop;sql;statistics
"tableau, gcp, python, r, mathematics",,master,autonomous systems engineer,gcp;mathematics;python;r;tableau
"java, tableau, gcp",,master,ai specialist,gcp;java;tableau
"data visualization, linux, git, azure, tensorflow",,bachelor,ai product manager,azure;data visualization;git;linux;tensorflow
"sql, scala, tableau",,phd,machine learning researcher,scala;sql;tableau
"tensorflow, r, mlops, mathematics",,phd,data engineer,mathematics;mlops;r;tensorflow
"computer vision, spark, tensorflow, deep learning",,phd,data scientist,computer vision;deep learning;spark;tensorflow
"git, azure, kubernetes, gcp",,associate,head of ai,azure;gcp;git;kubernetes
"pytorch, aws, hadoop, spark",,associate,robotics engineer,aws;hadoop;pytorch;spark
"deep learning, aws, java, statistics, azure",,master,ai architect,aws;azure;deep learning;java;statistics
"deep learning, hadoop, spark, docker, pytorch",,bachelor,data analyst,deep learning;docker;hadoop;pytorch;spark
"mlops, python, tensorflow",,master,ai research scientist,mlops;python;tensorflow
"tensorflow, sql, azure",,bachelor,ai research scientist,azure;sql;tensorflow
"mlops, pytorch, java",,master,machine learning engineer,java;mlops;pytorch
"hadoop, azure, data visualization, mlops",,associate,research scientist,azure;data visualization;hadoop;mlops
"r, sql, data visualization, pytorch, tensorflow",,bachelor,ai software engineer,data visualization;pytorch;r;sql;tensorflow
"scala, spark, python, kubernetes",,bachelor,data engineer,kubernetes;python;scala;spark
"sql, python, azure, nlp, kubernetes",,phd,computer vision engineer,azure;kubernetes;nlp;python;sql
"pytorch, statistics, gcp, tableau, mlops",,associate,ml ops engineer,gcp;mlops;pytorch;statistics;tableau
"scala, python, pytorch",,phd,autonomous systems engineer,python;pytorch;scala
"gcp, nlp, hadoop",,associate,autonomous systems engineer,gcp;hadoop;nlp
"data visualization, pytorch, git, java",,phd,computer vision engineer,data visualization;git;java;pytorch
"gcp, mathematics, python",,bachelor,ai specialist,gcp;mathematics;python
"pytorch, tableau, mathematics, mlops",,bachelor,data scientist,mathematics;mlops;pytorch;tableau
"hadoop, git, nlp, docker",,phd,robotics engineer,docker;git;hadoop;nlp
"kubernetes, scala, azure, docker",,associate,ai research scientist,azure;docker;kubernetes;scala
"gcp, docker, data visualization, mathematics",,associate,machine learning engineer,data visualization;docker;gcp;mathematics
"scala, mathematics, tableau, pytorch, hadoop",,master,ai product manager,hadoop;mathematics;pytorch;scala;tableau
"git, tensorflow, computer vision, aws, tableau",,bachelor,deep learning engineer,aws;computer vision;git;tableau;tensorflow
"hadoop, mathematics, mlops, data visualization",,associate,principal data scientist,data visualization;hadoop;mathematics;mlops
"java, linux, r, sql, tableau",,phd,ai product manager,java;linux;r;sql;tableau
"scala, gcp, tableau, aws",,associate,machine learning engineer,aws;gcp;scala;tableau
"tensorflow, pytorch, mlops",,associate,ai architect,mlops;pytorch;tensorflow
"python, linux, azure, tensorflow, pytorch",,associate,ai specialist,azure;linux;python;pytorch;tensorflow
"sql, spark, pytorch, docker, linux",,master,ai consultant,docker;linux;pytorch;spark;sql
"pytorch, python, data visualization",,master,autonomous systems engineer,data visualization;python;pytorch
"git, sql, pytorch, azure, aws",,master,head of ai,aws;azure;git;pytorch;sql
"scala, python, git, linux",,associate,ai consultant,git;linux;python;scala
"nlp, tableau, scala",,master,head of ai,nlp;scala;tableau
"tensorflow, deep learning, python",,associate,autonomous systems engineer,deep learning;python;tensorflow
"tableau, r, sql, linux",,bachelor,ai architect,linux;r;sql;tableau
"hadoop, mathematics, docker, kubernetes",,phd,deep learning engineer,docker;hadoop;kubernetes;mathematics
"python, aws, hadoop, deep learning",,master,robotics engineer,aws;deep learning;hadoop;python
"tableau, linux, pytorch",,phd,research scientist,linux;pytorch;tableau
"scala, computer vision, data visualization, nlp, spark",,associate,computer vision engineer,computer vision;data visualization;nlp;scala;spark
"data visualization, spark, scala, linux, computer vision",,bachelor,ml ops engineer,computer vision;data visualization;linux;scala;spark
"r, gcp, hadoop",,associate,ai architect,gcp;hadoop;r
"pytorch, deep learning, azure",,master,ai consultant,azure;deep learning;pytorch
"sql, python, mathematics, data visualization",,master,ai specialist,data visualization;mathematics;python;sql
"data visualization, mathematics, git, python",,phd,data engineer,data visualization;git;mathematics;python
"kubernetes, tableau, java",,bachelor,ml ops engineer,java;kubernetes;tableau
"python, linux, tensorflow, computer vision",,associate,robotics engineer,computer vision;linux;python;tensorflow
"docker, tensorflow, computer vision",,bachelor,data analyst,computer vision;docker;tensorflow
"hadoop, mathematics, r",,phd,ai consultant,hadoop;mathematics;r
"python, tableau, docker",,master,machine learning researcher,docker;python;tableau
"java, mlops, r",,bachelor,computer vision engineer,java;mlops;r
"python, deep learning, tensorflow, gcp",,master,deep learning engineer,deep learning;gcp;python;tensorflow
"python, hadoop, mlops",,phd,autonomous systems engineer,hadoop;mlops;python
"java, gcp, linux, r",,master,deep learning engineer,gcp;java;linux;r
"sql, java, azure, linux, scala",,associate,ai software engineer,azure;java;linux;scala;sql
"aws, spark, sql, mathematics",,master,nlp engineer,aws;mathematics;spark;sql
"kubernetes, sql, aws, statistics, tableau",,master,ai architect,aws;kubernetes;sql;statistics;tableau
"python, scala, aws, tableau, sql",,master,machine learning engineer,aws;python;scala;sql;tableau
"r, linux, data visualization, sql",,master,ai consultant,data visualization;linux;r;sql
"gcp, tableau, git, nlp",,associate,ai product manager,gcp;git;nlp;tableau
"aws, hadoop, mlops, computer vision",,phd,computer vision engineer,aws;computer vision;hadoop;mlops
"java, kubernetes, hadoop",,bachelor,ai architect,hadoop;java;kubernetes
"python, tensorflow, deep learning, gcp, pytorch",,phd,data engineer,deep learning;gcp;python;pytorch;tensorflow
"docker, git, hadoop, data visualization",,bachelor,ai product manager,data visualization;docker;git;hadoop
"python, tensorflow, statistics, kubernetes",,associate,head of ai,kubernetes;python;statistics;tensorflow
"tensorflow, deep learning, sql, python, tableau",,phd,ai product manager,deep learning;python;sql;tableau;tensorflow
"kubernetes, java, scala, tableau, docker",,bachelor,ai research scientist,docker;java;kubernetes;scala;tableau
"java, aws, kubernetes, python, git",,master,ai research scientist,aws;git;java;kubernetes;python
"scala, spark, linux, azure",,associate,machine learning engineer,azure;linux;scala;spark
"hadoop, computer vision, kubernetes, java, tensorflow",,bachelor,principal data scientist,computer vision;hadoop;java;kubernetes;tensorflow
"git, hadoop, r",,bachelor,data engineer,git;hadoop;r
"azure, git, aws",,associate,machine learning engineer,aws;azure;git
"git, nlp, sql, scala",,master,data analyst,git;nlp;scala;sql
"statistics, gcp, python",,bachelor,ai product manager,gcp;python;statistics
"azure, computer vision, nlp",,associate,ai architect,azure;computer vision;nlp
"r, mlops, pytorch",,phd,autonomous systems engineer,mlops;pytorch;r
"linux, computer vision, azure, mathematics",,phd,computer vision engineer,azure;computer vision;linux;mathematics
"python, mlops, data visualization, azure",,associate,data scientist,azure;data visualization;mlops;python
"aws, spark, mlops, r",,bachelor,ai product manager,aws;mlops;r;spark
"python, kubernetes, aws, tensorflow, linux",,bachelor,ai architect,aws;kubernetes;linux;python;tensorflow
"sql, mlops, data visualization, docker, spark",,bachelor,robotics engineer,data visualization;docker;mlops;spark;sql
"tensorflow, computer vision, mlops",,phd,ml ops engineer,computer vision;mlops;tensorflow
"git, deep learning, hadoop",,phd,ai software engineer,deep learning;git;hadoop
"computer vision, scala, statistics, deep learning, linux",,associate,ai specialist,computer vision;deep learning;linux;scala;statistics
"gcp, git, deep learning, data visualization",,associate,autonomous systems engineer,data visualization;deep learning;gcp;git
"python, tensorflow, mlops, hadoop, statistics",,phd,computer vision engineer,hadoop;mlops;python;statistics;tensorflow
"nlp, pytorch, java",,master,machine learning researcher,java;nlp;pytorch
"spark, git, pytorch, python, scala",,bachelor,machine learning engineer,git;python;pytorch;scala;spark
"aws, python, deep learning, mlops",,master,machine learning researcher,aws;deep learning;mlops;python
"statistics, docker, data visualization, r, hadoop",,master,ml ops engineer,data visualization;docker;hadoop;r;statistics
"pytorch, scala, git, tensorflow, linux",,phd,robotics engineer,git;linux;pytorch;scala;tensorflow
"nlp, hadoop, gcp, scala, mathematics",,master,robotics engineer,gcp;hadoop;mathematics;nlp;scala
"sql, linux, gcp, statistics",,bachelor,data analyst,gcp;linux;sql;statistics
"python, statistics, scala, tensorflow",,master,ai consultant,python;scala;statistics;tensorflow
"nlp, data visualization, python, linux",,master,data analyst,data visualization;linux;nlp;python
"aws, pytorch, java, kubernetes, hadoop",,phd,computer vision engineer,aws;hadoop;java;kubernetes;pytorch
"nlp, git, python",,associate,computer vision engineer,git;nlp;python
"computer vision, sql, mathematics",,bachelor,autonomous systems engineer,computer vision;mathematics;sql
"spark, java, git",,associate,autonomous systems engineer,git;java;spark
"git, r, computer vision",,associate,machine learning engineer,computer vision;git;r
"java, scala, docker, pytorch",,bachelor,ai research scientist,docker;java;pytorch;scala
"tableau, mlops, python",,phd,robotics engineer,mlops;python;tableau
"git, mathematics, data visualization",,master,data engineer,data visualization;git;mathematics
"python, deep learning, statistics, spark, gcp",,associate,ml ops engineer,deep learning;gcp;python;spark;statistics
"computer vision, kubernetes, data visualization, tensorflow, statistics",,bachelor,machine learning researcher,computer vision;data visualization;kubernetes;statistics;tensorflow
"data visualization, r, deep learning, scala",,master,deep learning engineer,data visualization;deep learning;r;scala
"java, r, deep learning, tensorflow",,master,ai consultant,deep learning;java;r;tensorflow
"spark, sql, linux",,associate,deep learning engineer,linux;spark;sql
"python, nlp, azure",,phd,ai specialist,azure;nlp;python
"gcp, sql, pytorch",,bachelor,ai software engineer,gcp;pytorch;sql
"spark, python, sql",,phd,principal data scientist,python;spark;sql
"mlops, linux, docker, aws, spark",,master,ai specialist,aws;docker;linux;mlops;spark
"git, docker, deep learning, r",,bachelor,data scientist,deep learning;docker;git;r
"computer vision, tableau, statistics",,master,data analyst,computer vision;statistics;tableau
"kubernetes, sql, statistics, aws",,master,nlp engineer,aws;kubernetes;sql;statistics
"pytorch, mathematics, tensorflow, aws, nlp",,phd,ai consultant,aws;mathematics;nlp;pytorch;tensorflow
"pytorch, nlp, gcp, deep learning, java",,bachelor,ai specialist,deep learning;gcp;java;nlp;pytorch
"mathematics, scala, mlops",,associate,ai architect,mathematics;mlops;scala
"sql, mlops, linux, mathematics, statistics",,master,ai architect,linux;mathematics;mlops;sql;statistics
"spark, azure, computer vision, python",,master,nlp engineer,azure;computer vision;python;spark
"python, data visualization, scala, tensorflow",,associate,machine learning researcher,data visualization;python;scala;tensorflow
"linux, tensorflow, mathematics, computer vision",,phd,head of ai,computer vision;linux;mathematics;tensorflow
"mathematics, python, java, r",,phd,ai software engineer,java;mathematics;python;r
"git, tableau, linux",,associate,research scientist,git;linux;tableau
"tableau, statistics, scala, mlops, nlp",,phd,nlp engineer,mlops;nlp;scala;statistics;tableau
"tableau, sql, pytorch, computer vision, hadoop",,master,machine learning researcher,computer vision;hadoop;pytorch;sql;tableau
"aws, r, tableau",,phd,principal data scientist,aws;r;tableau
"spark, nlp, aws",,bachelor,ai software engineer,aws;nlp;spark
"mathematics, azure, data visualization",,master,principal data scientist,azure;data visualization;mathematics
"deep learning, git, linux, scala",,bachelor,ai architect,deep learning;git;linux;scala
"sql, java, azure, linux, gcp",,bachelor,nlp engineer,azure;gcp;java;linux;sql
"git, pytorch, tableau, computer vision",,phd,deep learning engineer,computer vision;git;pytorch;tableau
"python, mathematics, computer vision",,phd,nlp engineer,computer vision;mathematics;python
"git, computer vision, kubernetes, python",,associate,ai specialist,computer vision;git;kubernetes;python
"aws, gcp, pytorch",,master,deep learning engineer,aws;gcp;pytorch
"docker, git, aws, mathematics",,master,robotics engineer,aws;docker;git;mathematics
"scala, python, nlp, deep learning, hadoop",,bachelor,data engineer,deep learning;hadoop;nlp;python;scala
"java, sql, kubernetes",,associate,data analyst,java;kubernetes;sql
"hadoop, deep learning, mathematics, aws",,master,machine learning engineer,aws;deep learning;hadoop;mathematics
"sql, scala, python",,phd,ai research scientist,python;scala;sql
"python, tensorflow, azure, git, scala",,associate,robotics engineer,azure;git;python;scala;tensorflow
"python, statistics, tensorflow, hadoop, azure",,associate,ai research scientist,azure;hadoop;python;statistics;tensorflow
"computer vision, tensorflow, data visualization, scala",,master,nlp engineer,computer vision;data visualization;scala;tensorflow
"pytorch, kubernetes, computer vision",,master,autonomous systems engineer,computer vision;kubernetes;pytorch
"deep learning, spark, tensorflow, statistics",,phd,ai product manager,deep learning;spark;statistics;tensorflow
"python, tensorflow, mathematics, aws, pytorch",,phd,ml ops engineer,aws;mathematics;python;pytorch;tensorflow
"deep learning, git, linux, sql",,phd,nlp engineer,deep learning;git;linux;sql
"spark, java, python, mlops",,associate,autonomous systems engineer,java;mlops;python;spark
"java, deep learning, python, git",,master,ai specialist,deep learning;git;java;python
"tableau, r, pytorch",,phd,machine learning engineer,pytorch;r;tableau
"java, sql, scala, computer vision",,phd,ai research scientist,computer vision;java;scala;sql
"pytorch, tensorflow, tableau, deep learning, sql",,phd,data scientist,deep learning;pytorch;sql;tableau;tensorflow
"tableau, java, linux, computer vision",,bachelor,data engineer,computer vision;java;linux;tableau
"aws, kubernetes, hadoop, data visualization",,bachelor,ai software engineer,aws;data visualization;hadoop;kubernetes
"sql, pytorch, nlp, computer vision, data visualization",,bachelor,ml ops engineer,computer vision;data visualization;nlp;pytorch;sql
"mathematics, python, nlp",,associate,ml ops engineer,mathematics;nlp;python
